epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.102,1.72276,3.97003,1.71578,0,0,0,0,1.19595,3.80962,1.29176,0,0,0
2,16.2571,1.62878,3.71276,1.68227,0,0,0,0,1.19126,3.80298,1.28634,1.41485e-05,1.41485e-05,1.41485e-05
3,17.0715,1.62558,3.78244,1.77369,0.00521,0.01923,0.00274,0.00027,1.15046,3.76486,1.23856,2.80141e-05,2.80141e-05,2.80141e-05
4,17.5125,1.95411,3.89387,1.74803,0.00966,0.05769,0.0056,0.00115,1.1046,3.70998,1.18862,4.15968e-05,4.15968e-05,4.15968e-05
5,17.8991,1.54301,3.7448,1.68512,0.00958,0.05769,0.00565,0.0015,1.08077,3.68052,1.16385,5.48965e-05,5.48965e-05,5.48965e-05
6,18.2835,2.08975,3.80044,1.68765,0.00913,0.05769,0.01096,0.0011,1.07074,3.64941,1.12833,6.79132e-05,6.79132e-05,6.79132e-05
7,18.7198,1.50655,3.62551,1.60892,0.00875,0.05769,0.00646,0.0019,1.08775,3.62983,1.11783,8.0647e-05,8.0647e-05,8.0647e-05
8,19.2351,1.36302,3.47763,1.45561,0.00886,0.05769,0.0064,0.00186,1.092,3.61071,1.11539,9.30979e-05,9.30979e-05,9.30979e-05
9,19.6171,1.22376,3.77312,1.33537,0.00893,0.05769,0.00596,0.00168,1.06509,3.59774,1.09808,0.000105266,0.000105266,0.000105266
10,19.9808,1.30598,3.32299,1.3519,0.00455,0.03846,0.00275,0.00083,1.04582,3.58804,1.08578,0.000117151,0.000117151,0.000117151
11,20.356,1.30932,3.68286,1.37891,0.00442,0.03846,0.00288,0.00029,1.03335,3.58112,1.07378,0.000128753,0.000128753,0.000128753
12,20.7239,1.2822,3.76865,1.27687,0,0,0,0,1.06239,3.57301,1.0777,0.000140072,0.000140072,0.000140072
13,21.097,1.3395,3.60564,1.30673,0.0042,0.01923,0.00219,0.00044,1.11401,3.57029,1.09251,0.000151108,0.000151108,0.000151108
14,21.484,1.1847,3.30708,1.21854,0.00787,0.03846,0.00429,0.00084,1.11387,3.56371,1.09275,0.000161861,0.000161861,0.000161861
15,21.8571,1.10339,3.37645,1.19025,0.01213,0.07692,0.00874,0.00261,1.12891,3.55171,1.0918,0.000172332,0.000172332,0.000172332
16,22.248,1.07506,3.19045,1.20544,0.01667,0.09615,0.01452,0.00631,1.13114,3.54678,1.09674,0.000182519,0.000182519,0.000182519
17,22.6389,1.18215,3.35448,1.20235,0.03441,0.19231,0.03551,0.01737,1.16195,3.55015,1.10957,0.000192423,0.000192423,0.000192423
18,23.008,1.12093,3.38622,1.15416,0.03441,0.19231,0.03551,0.01737,1.16195,3.55015,1.10957,0.000202045,0.000202045,0.000202045
19,23.4203,1.07181,3.13664,1.17198,0.03449,0.19231,0.04488,0.02957,1.22779,3.53941,1.15198,0.000211383,0.000211383,0.000211383
20,23.9175,0.92837,2.86747,1.07534,0.03449,0.19231,0.04488,0.02957,1.22779,3.53941,1.15198,0.000220439,0.000220439,0.000220439
21,24.2976,1.05711,3.07126,1.11177,0.03519,0.21154,0.06133,0.03445,1.25051,3.53259,1.1622,0.000229212,0.000229212,0.000229212
22,24.6606,1.14974,3.13168,1.16979,0.03519,0.21154,0.06133,0.03445,1.25051,3.53259,1.1622,0.000237701,0.000237701,0.000237701
23,25.0339,1.12128,2.99282,1.18016,0.036,0.21154,0.05548,0.03426,1.28369,3.53318,1.18277,0.000245908,0.000245908,0.000245908
24,25.3856,1.26332,3.19666,1.1653,0.036,0.21154,0.05548,0.03426,1.28369,3.53318,1.18277,0.000253832,0.000253832,0.000253832
25,25.7775,1.46031,3.24231,1.21202,0.03604,0.21154,0.06269,0.04893,1.36721,3.52244,1.23454,0.000261473,0.000261473,0.000261473
26,26.1381,1.11767,2.84412,1.15673,0.03604,0.21154,0.06269,0.04893,1.36721,3.52244,1.23454,0.000268831,0.000268831,0.000268831
27,26.5253,1.34769,2.83397,1.10359,0.03738,0.21154,0.07596,0.05642,1.41659,3.51227,1.26918,0.000275906,0.000275906,0.000275906
28,26.8782,1.46034,3.04659,1.14136,0.03738,0.21154,0.07596,0.05642,1.41659,3.51227,1.26918,0.000282698,0.000282698,0.000282698
29,27.2525,1.0289,3.19808,1.07535,0.04301,0.23077,0.07222,0.04888,1.42401,3.48937,1.27181,0.000289207,0.000289207,0.000289207
30,27.6063,1.11648,2.70095,1.1675,0.04301,0.23077,0.07222,0.04888,1.42401,3.48937,1.27181,0.000295433,0.000295433,0.000295433
31,27.9981,1.11239,2.71666,1.12533,0.05628,0.28846,0.09529,0.05958,1.42371,3.47638,1.24128,0.000301376,0.000301376,0.000301376
32,28.4801,1.1421,2.77852,1.11853,0.05628,0.28846,0.09529,0.05958,1.42371,3.47638,1.24128,0.000307036,0.000307036,0.000307036
33,28.8566,1.21242,3.17844,1.0629,0.06979,0.36538,0.134,0.07066,1.37893,3.49409,1.24098,0.000312414,0.000312414,0.000312414
34,29.2176,1.2387,2.61876,1.26991,0.06979,0.36538,0.134,0.07066,1.37893,3.49409,1.24098,0.000317508,0.000317508,0.000317508
35,29.5928,1.06101,2.71326,1.12592,0.06542,0.34615,0.13046,0.07633,1.38188,3.48883,1.23629,0.00032232,0.00032232,0.00032232
36,29.9387,0.98329,2.63254,1.06346,0.06542,0.34615,0.13046,0.07633,1.38188,3.48883,1.23629,0.000326848,0.000326848,0.000326848
37,30.3117,1.1494,2.83131,1.15777,0.06478,0.40385,0.16213,0.06956,1.33108,3.4721,1.19907,0.000331094,0.000331094,0.000331094
38,30.6489,1.00962,2.67035,1.0972,0.06478,0.40385,0.16213,0.06956,1.33108,3.4721,1.19907,0.000335056,0.000335056,0.000335056
39,31.0171,0.99621,2.40593,1.11512,0.06995,0.42308,0.17118,0.09014,1.28723,3.48388,1.19046,0.000338736,0.000338736,0.000338736
40,31.3753,1.24589,2.85735,1.05913,0.06995,0.42308,0.17118,0.09014,1.28723,3.48388,1.19046,0.000342133,0.000342133,0.000342133
41,31.7412,1.04791,2.4679,1.16983,0.07589,0.46154,0.20053,0.11104,1.24455,3.47531,1.16123,0.000345246,0.000345246,0.000345246
42,32.108,0.96725,2.36515,1.09796,0.07589,0.46154,0.20053,0.11104,1.24455,3.47531,1.16123,0.000348077,0.000348077,0.000348077
43,32.4766,1.15474,2.53507,1.17367,0.07666,0.46154,0.22217,0.13112,1.26067,3.4668,1.16685,0.000350625,0.000350625,0.000350625
44,32.8263,1.19789,2.56457,1.10774,0.07666,0.46154,0.22217,0.13112,1.26067,3.4668,1.16685,0.00035289,0.00035289,0.00035289
45,33.328,1.12551,2.27629,1.19171,0.07425,0.42308,0.2349,0.11681,1.33162,3.4711,1.20422,0.000354872,0.000354872,0.000354872
46,33.6808,1.08657,2.26487,1.16719,0.07425,0.42308,0.2349,0.11681,1.33162,3.4711,1.20422,0.000356571,0.000356571,0.000356571
47,34.071,0.96568,2.44323,1.05645,0.06466,0.38462,0.19448,0.10627,1.39538,3.46738,1.2292,0.000357987,0.000357987,0.000357987
48,34.4931,1.32307,2.30577,1.06142,0.06466,0.38462,0.19448,0.10627,1.39538,3.46738,1.2292,0.000359121,0.000359121,0.000359121
49,34.8502,1.08932,2.2207,1.14732,0.06381,0.34615,0.19033,0.10224,1.43356,3.45483,1.24716,0.000359971,0.000359971,0.000359971
50,35.1849,1.09302,2.37389,1.13422,0.06381,0.34615,0.19033,0.10224,1.43356,3.45483,1.24716,0.000360538,0.000360538,0.000360538
