epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2193,1.72359,3.97213,1.71594,0,0,0,0,1.19642,3.83344,1.29307,0,0,0
2,10.7659,1.62666,3.71352,1.6806,0,0,0,0,1.16574,3.80412,1.25389,1.41485e-05,1.41485e-05,1.41485e-05
3,11.1336,1.57756,3.77302,1.73582,0,0,0,0,1.11379,3.75915,1.20721,2.80141e-05,2.80141e-05,2.80141e-05
4,11.5089,1.90636,3.88427,1.71445,0.00995,0.05769,0.00569,0.00116,1.06518,3.71205,1.17067,4.15968e-05,4.15968e-05,4.15968e-05
5,11.8902,1.50742,3.72299,1.64898,0.00948,0.05769,0.00603,0.00166,1.07344,3.6764,1.14035,5.48965e-05,5.48965e-05,5.48965e-05
6,12.2979,2.02722,3.79786,1.64845,0.0093,0.05769,0.006,0.00167,1.07957,3.63846,1.11318,6.79132e-05,6.79132e-05,6.79132e-05
7,12.6492,1.51106,3.63205,1.59775,0.00926,0.05769,0.00594,0.00163,1.11396,3.62606,1.12121,8.0647e-05,8.0647e-05,8.0647e-05
8,13.1368,1.36722,3.46111,1.4418,0.00943,0.05769,0.00599,0.00165,1.12791,3.61383,1.11954,9.30979e-05,9.30979e-05,9.30979e-05
9,13.4828,1.23018,3.74896,1.32539,0.00913,0.05769,0.00565,0.00122,1.15355,3.61028,1.1274,0.000105266,0.000105266,0.000105266
10,13.837,1.29449,3.32283,1.34747,0.00886,0.05769,0.0053,0.00113,1.15888,3.59998,1.13261,0.000117151,0.000117151,0.000117151
11,14.2036,1.29466,3.68209,1.36535,0.00877,0.05769,0.00514,0.00108,1.16666,3.60308,1.13916,0.000128753,0.000128753,0.000128753
12,14.5509,1.24759,3.7717,1.26104,0.00417,0.01923,0.00217,0.00043,1.19436,3.60102,1.14559,0.000140072,0.000140072,0.000140072
13,14.8996,1.32661,3.58522,1.28864,0.01564,0.09615,0.00904,0.00458,1.22919,3.59397,1.15523,0.000151108,0.000151108,0.000151108
14,15.2689,1.1789,3.29212,1.19858,0.02359,0.15385,0.0177,0.00916,1.22852,3.57831,1.14301,0.000161861,0.000161861,0.000161861
15,15.6384,1.05802,3.37288,1.15697,0.03396,0.23077,0.03581,0.01859,1.25698,3.56042,1.15355,0.000172332,0.000172332,0.000172332
16,16.0034,1.03312,3.19467,1.18314,0.03406,0.23077,0.06179,0.03465,1.28882,3.55042,1.17642,0.000182519,0.000182519,0.000182519
17,16.361,1.18706,3.34411,1.19168,0.03743,0.25,0.07686,0.05402,1.31349,3.54388,1.18587,0.000192423,0.000192423,0.000192423
18,16.7026,1.15727,3.3871,1.15084,0.03743,0.25,0.07686,0.05402,1.31349,3.54388,1.18587,0.000202045,0.000202045,0.000202045
19,17.0877,1.05275,3.15136,1.16021,0.03735,0.25,0.0666,0.04748,1.30519,3.54214,1.19518,0.000211383,0.000211383,0.000211383
20,17.5474,0.92842,2.85306,1.08385,0.03735,0.25,0.0666,0.04748,1.30519,3.54214,1.19518,0.000220439,0.000220439,0.000220439
21,17.8822,1.03,3.07461,1.09842,0.04099,0.26923,0.08486,0.05669,1.288,3.54113,1.18775,0.000229212,0.000229212,0.000229212
22,18.2299,1.16659,3.13203,1.17989,0.04099,0.26923,0.08486,0.05669,1.288,3.54113,1.18775,0.000237701,0.000237701,0.000237701
23,18.601,1.09253,2.9733,1.15746,0.04038,0.26923,0.08665,0.05706,1.30305,3.55094,1.20598,0.000245908,0.000245908,0.000245908
24,18.9416,1.3302,3.20485,1.19399,0.04038,0.26923,0.08665,0.05706,1.30305,3.55094,1.20598,0.000253832,0.000253832,0.000253832
25,19.3034,1.48939,3.22072,1.23415,0.03448,0.23077,0.07322,0.04543,1.36748,3.54581,1.2617,0.000261473,0.000261473,0.000261473
26,19.6303,1.05187,2.84973,1.12812,0.03448,0.23077,0.07322,0.04543,1.36748,3.54581,1.2617,0.000268831,0.000268831,0.000268831
27,20.0022,1.43332,2.78284,1.15256,0.03701,0.23077,0.06119,0.03773,1.47619,3.5397,1.32388,0.000275906,0.000275906,0.000275906
28,20.3401,1.49037,3.04252,1.15471,0.03701,0.23077,0.06119,0.03773,1.47619,3.5397,1.32388,0.000282698,0.000282698,0.000282698
29,20.7672,1.05023,3.25409,1.08869,0.04128,0.25,0.05696,0.03326,1.64791,3.5207,1.44911,0.000289207,0.000289207,0.000289207
30,21.1645,1.13263,2.70526,1.17252,0.04128,0.25,0.05696,0.03326,1.64791,3.5207,1.44911,0.000295433,0.000295433,0.000295433
31,21.5396,1.09795,2.67247,1.13164,0.03959,0.23077,0.05714,0.03605,1.66087,3.49969,1.44908,0.000301376,0.000301376,0.000301376
32,21.9897,1.17299,2.79689,1.12548,0.03959,0.23077,0.05714,0.03605,1.66087,3.49969,1.44908,0.000307036,0.000307036,0.000307036
33,22.4217,1.22711,3.146,1.07808,0.04722,0.25,0.05828,0.03359,1.53623,3.4814,1.35223,0.000312414,0.000312414,0.000312414
34,22.7441,1.26136,2.55478,1.27184,0.04722,0.25,0.05828,0.03359,1.53623,3.4814,1.35223,0.000317508,0.000317508,0.000317508
35,23.0899,1.08763,2.67885,1.13391,0.06364,0.34615,0.09273,0.04123,1.33809,3.46581,1.21352,0.00032232,0.00032232,0.00032232
36,23.4266,0.95282,2.55881,1.052,0.06364,0.34615,0.09273,0.04123,1.33809,3.46581,1.21352,0.000326848,0.000326848,0.000326848
37,23.7808,1.16831,2.79538,1.17092,0.08144,0.44231,0.13593,0.0605,1.26746,3.46066,1.19212,0.000331094,0.000331094,0.000331094
38,24.1139,1.02233,2.63652,1.09494,0.08144,0.44231,0.13593,0.0605,1.26746,3.46066,1.19212,0.000335056,0.000335056,0.000335056
39,24.4856,1.08988,2.40549,1.14749,0.08673,0.48077,0.15829,0.084,1.229,3.4553,1.16005,0.000338736,0.000338736,0.000338736
40,24.8286,1.30321,2.83324,1.06761,0.08673,0.48077,0.15829,0.084,1.229,3.4553,1.16005,0.000342133,0.000342133,0.000342133
41,25.1818,1.03615,2.45474,1.15631,0.08663,0.48077,0.16283,0.09028,1.2214,3.43783,1.15302,0.000345246,0.000345246,0.000345246
42,25.5368,0.89273,2.33242,1.08187,0.08663,0.48077,0.16283,0.09028,1.2214,3.43783,1.15302,0.000348077,0.000348077,0.000348077
43,25.8921,1.07422,2.51522,1.14571,0.08019,0.46154,0.19251,0.10002,1.25334,3.42555,1.15868,0.000350625,0.000350625,0.000350625
44,26.2362,1.17515,2.51821,1.10939,0.08019,0.46154,0.19251,0.10002,1.25334,3.42555,1.15868,0.00035289,0.00035289,0.00035289
45,26.7077,1.04347,2.19733,1.12943,0.08319,0.5,0.21644,0.09696,1.34478,3.43038,1.19805,0.000354872,0.000354872,0.000354872
46,27.0467,0.99051,2.24111,1.09536,0.08319,0.5,0.21644,0.09696,1.34478,3.43038,1.19805,0.000356571,0.000356571,0.000356571
47,27.4308,0.99913,2.45595,1.07229,0.08355,0.5,0.20703,0.09065,1.33497,3.42803,1.20032,0.000357987,0.000357987,0.000357987
48,27.7721,1.25255,2.24919,1.04202,0.08355,0.5,0.20703,0.09065,1.33497,3.42803,1.20032,0.000359121,0.000359121,0.000359121
49,28.1129,1.04423,2.16055,1.11472,0.08793,0.53846,0.21158,0.086,1.36207,3.40318,1.20705,0.000359971,0.000359971,0.000359971
50,28.4722,1.13875,2.35959,1.13744,0.08793,0.53846,0.21158,0.086,1.36207,3.40318,1.20705,0.000360538,0.000360538,0.000360538
51,28.8296,1.08277,1.93854,1.18134,0.08625,0.51923,0.22489,0.09591,1.41346,3.37513,1.24944,0.000360822,0.000360822,0.000360822
52,29.1842,0.98376,2.10894,1.03518,0.08625,0.51923,0.22489,0.09591,1.41346,3.37513,1.24944,0.000360824,0.000360824,0.000360824
53,29.5336,0.99277,2.05094,1.11455,0.08625,0.51923,0.22489,0.09591,1.41346,3.37513,1.24944,0.000360542,0.000360542,0.000360542
54,29.8898,1.00964,1.89475,1.11486,0.07877,0.5,0.21822,0.10096,1.44937,3.3558,1.26229,0.000359978,0.000359978,0.000359978
55,30.2401,1.01538,2.09619,1.10858,0.07877,0.5,0.21822,0.10096,1.44937,3.3558,1.26229,0.000359131,0.000359131,0.000359131
56,30.5839,1.24223,1.73016,1.36486,0.07877,0.5,0.21822,0.10096,1.44937,3.3558,1.26229,0.000358,0.000358,0.000358
57,31.1064,1.1204,2.55916,1.0917,0.07888,0.5,0.22237,0.10536,1.48125,3.34588,1.26444,0.000356587,0.000356587,0.000356587
58,31.4808,1.1388,2.45611,1.07569,0.07888,0.5,0.22237,0.10536,1.48125,3.34588,1.26444,0.000354891,0.000354891,0.000354891
